Frans,Nederlands,Duits,Begin,Einde,Name
-,Neerlinter,-,01.01.0001,01.04.1972,Neerlinter
-,Neervelp,-,01.01.0001,02.01.1965,Neervelp
-,Neerwinden,-,01.01.0001,02.01.1977,Neerwinden
-,Nieuwrode,-,01.01.0001,02.01.1977,Nieuwrode
-,Oorbeek,-,01.01.0001,01.01.1971,Oorbeek
-,Oplinter,-,01.01.0001,01.01.1977,Oplinter
-,Opvelp,-,01.01.0001,02.01.1965,Opvelp
-,Orsmaal-Gussenhoven,-,01.01.0001,01.01.1971,Orsmaal-Gussenhoven
-,Ottenburg,-,01.01.0001,01.01.1977,Ottenburg
-,Oud-Heverlee,-,01.01.0001,31.12.9999,Oud-Heverlee
-,Outgaarden,-,01.01.0001,02.01.1977,Outgaarden
-,Overhespen,-,01.01.0001,01.01.1971,Overhespen
-,Overwinden,-,01.01.0001,01.01.1971,Overwinden
-,Pellenberg,-,01.01.0001,01.01.1977,Pellenberg
-,Ransberg,-,01.01.0001,01.01.1977,Ransberg
-,Rillaar,-,01.01.0001,03.01.1977,Rillaar
-,Roosbeek (Vl.),-,01.01.0001,26.01.1971,Roosbeek (Vl.)
-,Rotselaar,-,01.01.0001,31.12.9999,Rotselaar
-,Rummen,-,01.01.0001,01.01.1977,Rummen
-,Rumsdorp,-,01.01.0001,04.01.1971,Rumsdorp
-,Schaffen,-,01.01.0001,03.01.1977,Schaffen
Montaigu,Scherpenheuvel,Scherpenheuvel,01.01.0001,02.01.1977,Scherpenheuvel
-,Sint-Agatha-Rode,-,01.01.0001,01.01.1977,Sint-Agatha-Rode
-,Sint-Joris-Weert,-,01.01.0001,22.02.1977,Sint-Joris-Weert
-,Sint-Joris-Winge,-,01.01.0001,01.01.1977,Sint-Joris-Winge
-,Sint-Margriete-Houtem,-,01.01.0001,01.01.1977,Sint-Margriete-Houtem
-,Sint-Pieters-Rode,-,01.01.0001,02.01.1977,Sint-Pieters-Rode
-,Tervuren,-,01.01.0001,31.12.9999,Tervuren
-,Testelt,-,01.01.0001,02.01.1977,Testelt
-,Tielt (Brab.),-,01.01.0001,01.01.1977,Tielt (Brab.)
Tirlemont,Tienen,Tienen,01.01.0001,31.12.9999,Tienen
-,Tildonk,-,01.01.0001,02.01.1977,Tildonk
-,Tremelo,-,01.01.0001,31.12.9999,Tremelo
-,Vaalbeek,-,01.01.0001,22.02.1977,Vaalbeek
-,Veltem-Beisem,-,01.01.0001,03.01.1977,Veltem-Beisem
-,Vertrijk,-,01.01.0001,26.01.1971,Vertrijk
-,Vissenaken,-,01.01.0001,02.01.1971,Vissenaken
-,Vossem,-,01.01.0001,02.01.1977,Vossem
-,Waanrode,-,01.01.0001,01.01.1977,Waanrode
-,Waasmont,-,01.01.0001,25.01.1965,Waasmont
-,Walsbets,-,01.01.0001,25.01.1965,Walsbets
Houtain-l'Evêque,Walshoutem,Walshoutem,01.01.0001,02.01.1977,Walshoutem
-,Wange,-,01.01.0001,01.01.1971,Wange
-,Webbekom,-,01.01.0001,12.08.1972,Webbekom
-,Werchter,-,01.01.0001,02.01.1977,Werchter
-,Wespelaar,-,01.01.0001,02.01.1977,Wespelaar
-,Wezemaal,-,01.01.0001,01.01.1977,Wezemaal
-,Wezeren,-,01.01.0001,25.01.1965,Wezeren
-,Willebringen,-,01.01.0001,02.01.1965,Willebringen
-,Wilsele,-,01.01.0001,02.01.1977,Wilsele
-,Winksele,-,01.01.0001,03.01.1977,Winksele
-,Wommersom,-,01.01.0001,01.01.1977,Wommersom
-,Zichem,-,01.01.0001,02.01.1977,Zichem
Léau,Zoutleeuw,Zoutleeuw,01.01.0001,31.12.9999,Zoutleeuw
-,Honsem,-,02.01.1965,02.01.1977,Honsem
-,Orsmaal,-,01.01.1971,01.01.1977,Orsmaal
-,Linter,-,01.04.1972,31.12.9999,Linter
Montaigu-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,02.01.1977,31.12.9999,Scherpenheuvel-Zichem
-,Tielt-Winge,-,01.01.1977,31.12.9999,Tielt-Winge
-,Glabbeek,-,01.01.0001,31.12.9999,Glabbeek
-,Caggevinne-Assent,-,01.01.0001,26.03.1922,Caggevinne-Assent
Brabant wallon,Waals-Brabant,Wallonisch-Brabant,01.01.0001,31.12.9999,Waals-Brabant
Archennes,Eerken,-,01.01.0001,16.02.1977,Eerken
Autre-Eglise,-,-,01.01.0001,02.01.1977,Autre-Eglise
Baisy-Thy,-,-,01.01.0001,03.01.1977,Baisy-Thy
Baulers,-,-,01.01.0001,03.01.1977,Baulers
Beauvechain,Bevekom,-,01.01.0001,31.12.9999,Bevekom
Bierges,-,-,01.01.0001,03.01.1977,Bierges
Bierghes,Bierk,-,01.01.0001,02.01.1977,Bierk
Biez,-,-,01.01.0001,16.02.1977,Biez
Bomal (lez-Jodoigne),-,-,01.01.0001,02.01.1971,Bomal (lez-Jodoigne)
Bonlez,-,-,01.01.0001,01.01.1977,Bonlez
Bornival,-,-,01.01.0001,03.01.1977,Bornival
Bossut-Gottechain,-,-,01.01.0001,16.02.1977,Bossut-Gottechain
Bousval,-,-,01.01.0001,02.01.1977,Bousval
Braine-l'Alleud,Eigenbrakel,-,01.01.0001,31.12.9999,Eigenbrakel
Braine-le-Château,Kasteelbrakel,-,01.01.0001,31.12.9999,Kasteelbrakel
Céroux-Mousty,-,-,01.01.0001,03.01.1977,Céroux-Mousty
Chastre-Villeroux-Blanmont,-,-,01.01.0001,02.01.1977,Chastre-Villeroux-Blanmont
Chaumont-Gistoux,-,-,01.01.0001,31.12.9999,Chaumont-Gistoux
Clabecq,Klabbeek,-,01.01.0001,01.01.1977,Klabbeek
Corbais,-,-,01.01.0001,02.01.1977,Corbais
Corroy-le-Grand,-,-,01.01.0001,02.01.1977,Corroy-le-Grand
Cortil-Noirmont,-,-,01.01.0001,02.01.1977,Cortil-Noirmont
Court-Saint-Etienne,-,-,01.01.0001,31.12.9999,Court-Saint-Etienne
Couture-Saint-Germain,-,-,01.01.0001,03.01.1977,Couture-Saint-Germain
Dion-le-Mont,-,-,01.01.0001,02.01.1971,Dion-le-Mont
Dion-le-Val,-,-,01.01.0001,02.01.1971,Dion-le-Val
Dongelberg,-,-,01.01.0001,03.01.1977,Dongelberg
Enines,-,-,01.01.0001,04.01.1971,Enines
Folx-les-Caves,-,-,01.01.0001,04.01.1971,Folx-les-Caves
Geest-Gérompont-Petit-Rosière,-,-,01.01.0001,02.01.1971,Geest-Gérompont-Petit-Rosière
Genappe,Genepiën,-,01.01.0001,31.12.9999,Genepiën
Gentinnes,-,-,01.01.0001,02.01.1977,Gentinnes
Genval,-,-,01.01.0001,02.01.1977,Genval
Glabais,-,-,01.01.0001,02.01.1977,Glabais
Glimes,-,-,01.01.0001,02.01.1977,Glimes
Grand-Rosière-Hottomont,-,-,01.01.0001,02.01.1977,Grand-Rosière-Hottomont
Grez-Doiceau,Graven,-,01.01.0001,31.12.9999,Graven
Hamme-Mille,-,-,01.01.0001,03.01.1977,Hamme-Mille
Haut-Ittre,-,-,01.01.0001,03.01.1977,Haut-Ittre
Hévillers,-,-,01.01.0001,02.01.1977,Hévillers
Houtain-le-Val,-,-,01.01.0001,02.01.1977,Houtain-le-Val
Huppaye,-,-,01.01.0001,02.01.1977,Huppaye
Incourt,-,-,01.01.0001,31.12.9999,Incourt
Ittre,Itter,-,01.01.0001,31.12.9999,Itter
Jandrain-Jandrenouille,-,-,01.01.0001,01.01.1977,Jandrain-Jandrenouille
Jauche,Geten,-,01.01.0001,01.01.1977,Geten
Jauchelette,-,-,01.01.0001,03.01.1977,Jauchelette
Jodoigne,Geldenaken,-,01.01.0001,31.12.9999,Geldenaken
Jodoigne-Souveraine,Opgeldenaken,-,01.01.0001,03.01.1977,Opgeldenaken
La Hulpe,Terhulpen,-,01.01.0001,31.12.9999,Terhulpen
Lasne-Chapelle-St-Lambert,-,-,01.01.0001,03.01.1977,Lasne-Chapelle-St-Lambert
Lathuy,-,-,01.01.0001,03.01.1977,Lathuy
L'Ecluse,Sluizen (Brab.),-,01.01.0001,03.01.1977,Sluizen (Brab.)
Lillois-Witterzée,-,-,01.01.0001,03.01.1977,Lillois-Witterzée
Limal,-,-,01.01.0001,03.01.1977,Limal
Limelette,-,-,01.01.0001,02.01.1977,Limelette
Linsmeau,Linsmeel,-,01.01.0001,03.01.1977,Linsmeel
Longueville,-,-,01.01.0001,01.01.1977,Longueville
Loupoigne,-,-,01.01.0001,02.01.1977,Loupoigne
Malèves-Sainte-Marie-Wastines,-,-,01.01.0001,02.01.1977,Malèves-Sainte-Marie-Wastines
Maransart,-,-,01.01.0001,03.01.1977,Maransart
Marbais,-,-,01.01.0001,01.01.1977,Marbais
Marilles,-,-,01.01.0001,01.01.1977,Marilles
Mélin,Malen,-,01.01.0001,03.01.1977,Malen
Mellery,-,-,01.01.0001,01.01.1977,Mellery
Monstreux,-,-,01.01.0001,03.01.1977,Monstreux
Mont-Saint-André,-,-,01.01.0001,02.01.1971,Mont-Saint-André
Mont-Saint-Guibert,-,-,01.01.0001,31.12.9999,Mont-Saint-Guibert
Neerheylissem,-,-,01.01.0001,03.01.1977,Neerheylissem
Nethen,-,-,01.01.0001,16.02.1977,Nethen
Nil-Saint-Vincent-Saint-Martin,-,-,01.01.0001,03.01.1977,Nil-Saint-Vincent-Saint-Martin
Nivelles,Nijvel,-,01.01.0001,31.12.9999,Nijvel
Nodebais,-,-,01.01.0001,03.01.1977,Nodebais
Noduwez,-,-,01.01.0001,01.01.1977,Noduwez
Noville-sur-Méhaigne,-,-,01.01.0001,31.01.1977,Noville-sur-Méhaigne
Ohain,-,-,01.01.0001,03.01.1977,Ohain
Oisquercq,Oostkerk,-,01.01.0001,12.03.1971,Oostkerk
Ophain-Bois-Seigneur-Isaac,-,-,01.01.0001,03.01.1977,Ophain-Bois-Seigneur-Isaac
Opheylissem,-,-,01.01.0001,03.01.1977,Opheylissem
Opprebais,-,-,01.01.0001,02.01.1977,Opprebais
Orbais,-,-,01.01.0001,02.01.1977,Orbais
Orp-le-Grand,-,-,01.01.0001,01.01.1977,Orp-le-Grand
Ottignies,-,-,01.01.0001,02.01.1977,Ottignies
Perwez,Perwijs,-,01.01.0001,31.12.9999,Perwijs
Piétrain,Petrem,-,01.01.0001,03.01.1977,Petrem
Piétrebais,-,-,01.01.0001,02.01.1977,Piétrebais
Plancenoit,-,-,01.01.0001,03.01.1977,Plancenoit
Quenast,-,-,01.01.0001,02.01.1977,Quenast
Ramillies-Offus,-,-,01.01.0001,02.01.1977,Ramillies-Offus
Rebecq-Rognon,Roosbeek,-,01.01.0001,02.01.1977,Roosbeek
Rixensart,-,-,01.01.0001,31.12.9999,Rixensart
Rosières,-,-,01.01.0001,02.01.1977,Rosières
Roux-Miroir,-,-,01.01.0001,02.01.1977,Roux-Miroir
Saint-Géry,-,-,01.01.0001,02.01.1977,Saint-Géry
Saint-Jean-Geest,Sint-Jans-Geest,-,01.01.0001,03.01.1977,Sint-Jans-Geest
Saint-Remy-Geest,Sint-Remigius-Geest,-,01.01.0001,03.01.1977,Sint-Remigius-Geest
Saintes,Sint-Renelde,-,01.01.0001,02.01.1977,Sint-Renelde
Sart-Dames-Avelines,-,-,01.01.0001,01.01.1977,Sart-Dames-Avelines
Thines,-,-,01.01.0001,03.01.1977,Thines
Thorembais-les-Béguines,-,-,01.01.0001,02.01.1977,Thorembais-les-Béguines
Thorembais-Saint-Trond,-,-,01.01.0001,02.01.1977,Thorembais-Saint-Trond
Tilly,-,-,01.01.0001,01.01.1977,Tilly
Tourinnes-la-Grosse,Deurne (Tourinnes-la-Grosse),-,01.01.0001,03.01.1977,Deurne (Tourinnes-la-Grosse)
Tourinnes-Saint-Lambert,-,-,01.01.0001,03.01.1977,Tourinnes-Saint-Lambert
Tubize,Tubeke,-,01.01.0001,31.12.9999,Tubeke
Vieux-Genappe,-,-,01.01.0001,02.01.1977,Vieux-Genappe
Villers-la-Ville,-,-,01.01.0001,31.12.9999,Villers-la-Ville
Virginal-Samme,-,-,01.01.0001,03.01.1977,Virginal-Samme
Walhain-Saint-Paul,-,-,01.01.0001,03.01.1977,Walhain-Saint-Paul
Waterloo,-,-,01.01.0001,31.12.9999,Waterloo
Wauthier-Braine,Woutersbrakel,-,01.01.0001,01.01.1977,Woutersbrakel
Wavre,Waver,-,01.01.0001,31.12.9999,Waver
Ways,-,-,01.01.0001,02.01.1977,Ways
Zétrud-Lumay,Zittert-Lummen,-,01.01.0001,03.01.1977,Zittert-Lummen
Dion-Valmont,-,-,27.11.1969,01.01.1977,Dion-Valmont
Gérompont,-,-,02.01.1971,01.01.1977,Gérompont
Chastre,-,-,02.01.1977,31.12.9999,Chastre
Hélécine,-,-,03.01.1977,31.12.9999,Hélécine
Lasne,-,-,03.01.1977,31.12.9999,Lasne
Orp-Jauche,-,-,01.01.1977,31.12.9999,Orp-Jauche
Ottignies-Louvain-la-Neuve,-,-,02.01.1977,31.12.9999,Ottignies-Louvain-la-Neuve
Ramillies,-,-,02.01.1977,31.12.9999,Ramillies
Rebecq,-,-,02.01.1977,31.12.9999,Rebecq
Walhain,-,-,03.01.1977,31.12.9999,Walhain
Pr.Fl.Occidentale,Pr.West-Vlaanderen,Pr.Westflandern,01.01.0001,31.12.9999,Pr.West-Vlaanderen
-,Aartrijke,-,01.01.0001,03.01.1977,Aartrijke
-,Assebroek,-,01.01.0001,01.01.1971,Assebroek
-,Beernem,-,01.01.0001,31.12.9999,Beernem
-,Blankenberge,-,01.01.0001,31.12.9999,Blankenberge
Bruges,Brugge,Brügge,01.01.0001,31.12.9999,Brugge
-,Damme,-,01.01.0001,31.12.9999,Damme
-,Dudzele,-,01.01.0001,01.01.1971,Dudzele
-,Heist,-,01.01.0001,19.03.1971,Heist
-,Hertsberge,-,01.01.0001,01.01.1977,Hertsberge
-,Hoeke,-,01.01.0001,01.01.1971,Hoeke
-,Houtave,-,01.01.0001,01.01.1977,Houtave
-,Jabbeke,-,01.01.0001,31.12.9999,Jabbeke
-,Knokke,-,01.01.0001,19.03.1971,Knokke
-,Koolkerke,-,01.01.0001,01.01.1971,Koolkerke
-,Lapscheure,-,01.01.0001,01.01.1971,Lapscheure
-,Lissewege,-,01.01.0001,01.01.1971,Lissewege
-,Loppem,-,01.01.0001,03.01.1977,Loppem
-,Meetkerke,-,01.01.0001,01.01.1977,Meetkerke
-,Moerkerke,-,01.01.0001,01.01.1977,Moerkerke
-,Nieuwmunster,-,01.01.0001,01.01.1977,Nieuwmunster
-,Oedelem,-,01.01.0001,01.01.1977,Oedelem
-,Oostkamp,-,01.01.0001,31.12.9999,Oostkamp
-,Oostkerke,-,01.01.0001,01.01.1977,Oostkerke
-,Ramskapelle,-,01.01.0001,19.03.1971,Ramskapelle
-,Ruddervoorde,-,01.01.0001,01.01.1977,Ruddervoorde
-,Sijsele,-,01.01.0001,01.01.1977,Sijsele
-,Sint-Andries,-,01.01.0001,01.01.1971,Sint-Andries
-,Sint-Joris (bij Brugge),-,01.01.0001,01.01.1977,Sint-Joris (bij Brugge)
-,Sint-Kruis,-,01.01.0001,01.01.1971,Sint-Kruis
-,Sint-Michiels,-,01.01.0001,01.01.1971,Sint-Michiels
-,Snellegem,-,01.01.0001,02.01.1977,Snellegem
-,Stalhille,-,01.01.0001,02.01.1977,Stalhille
-,Torhout,-,01.01.0001,31.12.9999,Torhout
-,Uitkerke,-,01.01.0001,01.01.1971,Uitkerke
-,Varsenare,-,01.01.0001,02.01.1977,Varsenare
-,Veldegem,-,01.01.0001,03.01.1977,Veldegem
-,Waardamme,-,01.01.0001,01.01.1977,Waardamme
-,Wenduine,-,01.01.0001,01.01.1977,Wenduine
-,Westkapelle,-,01.01.0001,19.03.1971,Westkapelle
-,Zedelgem,-,01.01.0001,31.12.9999,Zedelgem
-,Zerkegem,-,01.01.0001,02.01.1977,Zerkegem
-,Zuienkerke,-,01.01.0001,31.12.9999,Zuienkerke
-,Knokke-Heist,-,01.01.0001,31.12.9999,Knokke-Heist
Bruges(district 2),Brugge(district 2),Brugge(Distrikt 2),01.01.0001,31.12.9999,Brugge(district 2)
-,Sint-Pieters-op-de-Dijk,-,01.01.0001,01.01.1900,Sint-Pieters-op-de-Dijk
-,Beerst,-,01.01.0001,27.04.1977,Beerst
-,Bovekerke,-,01.01.0001,01.01.1971,Bovekerke
Dixmude,Diksmuide,Diksmuide,01.01.0001,31.12.9999,Diksmuide
-,Esen,-,01.01.0001,04.01.1965,Esen
-,Handzame,-,01.01.0001,01.01.1977,Handzame
-,Houthulst,-,01.01.0001,31.12.9999,Houthulst
-,Kaaskerke,-,01.01.0001,04.01.1965,Kaaskerke
-,Keiem,-,01.01.0001,02.01.1971,Keiem
-,Klerken,-,01.01.0001,08.06.1977,Klerken
-,Koekelare,-,01.01.0001,31.12.9999,Koekelare
-,Kortemark,-,01.01.0001,31.12.9999,Kortemark
-,Lampernisse,-,01.01.0001,02.01.1971,Lampernisse
-,Leke,-,01.01.0001,27.04.1977,Leke
-,Lo,-,01.01.0001,23.02.1977,Lo
-,Merkem,-,01.01.0001,08.06.1977,Merkem
-,Nieuwkapelle,-,01.01.0001,01.01.1971,Nieuwkapelle
-,Noordschote,-,01.01.0001,02.01.1971,Noordschote
-,Oostkerke (bij-Diksmuide),-,01.01.0001,02.01.1971,Oostkerke (bij-Diksmuide)
-,Oudekapelle,-,01.01.0001,01.01.1971,Oudekapelle
-,Pollinkhove,-,01.01.0001,02.01.1971,Pollinkhove
-,Reninge,-,01.01.0001,23.02.1977,Reninge
-,Sint-Jacobs-Kapelle,-,01.01.0001,01.01.1971,Sint-Jacobs-Kapelle
-,Stuivekenskerke,-,01.01.0001,02.01.1971,Stuivekenskerke
-,Vladslo,-,01.01.0001,27.04.1977,Vladslo
-,Werken,-,01.01.0001,02.01.1971,Werken
-,Woumen,-,01.01.0001,08.06.1977,Woumen
-,Zarren,-,01.01.0001,02.01.1971,Zarren
-,Driekapellen,-,01.01.1971,27.04.1977,Driekapellen
-,Zarren-Werken,-,02.01.1971,01.01.1977,Zarren-Werken
-,Lo-Reninge,-,23.02.1977,31.12.9999,Lo-Reninge
-,Beselare,-,01.01.0001,02.01.1977,Beselare
-,Bikschote,-,01.01.0001,28.01.1971,Bikschote
-,Boezinge,-,01.01.0001,02.01.1977,Boezinge
-,Brielen,-,01.01.0001,01.01.1971,Brielen
-,Dikkebus,-,01.01.0001,02.01.1977,Dikkebus
-,Dranouter,-,01.01.0001,01.01.1977,Dranouter
-,Elverdinge,-,01.01.0001,02.01.1977,Elverdinge
-,Geluveld,-,01.01.0001,02.01.1977,Geluveld
-,Geluwe,-,01.01.0001,01.01.1977,Geluwe
-,Hollebeke,-,01.01.0001,01.01.1971,Hollebeke
Ypres,Ieper,Ieper,01.01.0001,31.12.9999,Ieper
-,Kemmel,-,01.01.0001,01.01.1977,Kemmel
-,Krombeke,-,01.01.0001,02.01.1971,Krombeke
-,Langemark,-,01.01.0001,01.01.1977,Langemark
-,Loker,-,01.01.0001,01.01.1977,Loker
Messines,Mesen,-,01.01.0001,31.12.9999,Mesen
Neuve-Eglise,Nieuwkerke,Nieuwkerke,01.01.0001,01.01.1977,Nieuwkerke
-,Oostvleteren,-,01.01.0001,01.01.1977,Oostvleteren
-,Passendale,-,01.01.0001,02.01.1977,Passendale
-,Poelkapelle,-,01.01.0001,01.01.1977,Poelkapelle
-,Poperinge,-,01.01.0001,31.12.9999,Poperinge
-,Proven,-,01.01.0001,01.01.1977,Proven
-,Reningelst,-,01.01.0001,01.01.1977,Reningelst
-,Roesbrugge-Haringe,-,01.01.0001,01.01.1977,Roesbrugge-Haringe
-,Sint-Jan,-,01.01.0001,01.01.1971,Sint-Jan
-,Vlamertinge,-,01.01.0001,02.01.1977,Vlamertinge
-,Voormezele,-,01.01.0001,01.01.1971,Voormezele
-,Watou,-,01.01.0001,01.01.1977,Watou
-,Wervik,-,01.01.0001,31.12.9999,Wervik
-,Westouter,-,01.01.0001,01.01.1977,Westouter
-,Westvleteren,-,01.01.0001,01.01.1977,Westvleteren
-,Wijtschate,-,01.01.0001,01.01.1977,Wijtschate
-,Woesten,-,01.01.0001,01.01.1977,Woesten
-,Wulvergem,-,01.01.0001,01.01.1977,Wulvergem
-,Zandvoorde(Zonnebeke),-,01.01.0001,01.01.1971,Zandvoorde(Zonnebeke)
-,Zillebeke,-,01.01.0001,02.01.1977,Zillebeke
-,Zonnebeke,-,01.01.0001,31.12.9999,Zonnebeke
-,Zuidschote,-,01.01.0001,01.01.1971,Zuidschote
-,Heuvelland,-,01.01.1977,31.12.9999,Heuvelland
-,Langemark-Poelkapelle,-,01.01.1977,31.12.9999,Langemark-Poelkapelle
-,Vleteren,-,01.01.1977,31.12.9999,Vleteren
-,Aalbeke,-,01.01.0001,02.01.1977,Aalbeke
-,Anzegem,-,01.01.0001,31.12.9999,Anzegem
-,Avelgem,-,01.01.0001,31.12.9999,Avelgem
-,Bavikhove,-,01.01.0001,02.01.1977,Bavikhove
-,Bellegem,-,01.01.0001,02.01.1977,Bellegem
-,Beveren (Leie),-,01.01.0001,31.03.1977,Beveren (Leie)
-,Bissegem,-,01.01.0001,02.01.1977,Bissegem
-,Bossuit,-,01.01.0001,03.01.1977,Bossuit
-,Deerlijk,-,01.01.0001,31.12.9999,Deerlijk
-,Desselgem,-,01.01.0001,31.03.1977,Desselgem
-,Gijzelbrechtegem,-,01.01.0001,25.01.1971,Gijzelbrechtegem
-,Gullegem,-,01.01.0001,02.01.1977,Gullegem
-,Harelbeke,-,01.01.0001,31.12.9999,Harelbeke
-,Heestert,-,01.01.0001,02.01.1977,Heestert
Helchin,Helkijn,-,01.01.0001,03.01.1977,Helkijn
-,Heule,-,01.01.0001,02.01.1977,Heule
-,Hulste,-,01.01.0001,02.01.1977,Hulste
-,Ingooigem,-,01.01.0001,03.01.1977,Ingooigem
-,Kaster,-,01.01.0001,03.01.1977,Kaster
-,Kerkhove,-,01.01.0001,03.01.1977,Kerkhove
-,Kooigem,-,01.01.0001,02.01.1977,Kooigem
Courtrai,Kortrijk,Kortrijk,01.01.0001,31.12.9999,Kortrijk
-,Kuurne,-,01.01.0001,31.12.9999,Kuurne
-,Lauwe,-,01.01.0001,02.01.1977,Lauwe
-,Lendelede,-,01.01.0001,31.12.9999,Lendelede
-,Marke,-,01.01.0001,02.01.1977,Marke
Menin,Menen,Menen,01.01.0001,31.12.9999,Menen
-,Moen,-,01.01.0001,02.01.1977,Moen
-,Moorsele,-,01.01.0001,02.01.1977,Moorsele
-,Otegem,-,01.01.0001,02.01.1977,Otegem
-,Outrijve,-,01.01.0001,03.01.1977,Outrijve
-,Rekkem,-,01.01.0001,02.01.1977,Rekkem
-,Rollegem,-,01.01.0001,02.01.1977,Rollegem
-,Sint-Denijs,-,01.01.0001,02.01.1977,Sint-Denijs
-,Sint-Eloois-Vijve,-,01.01.0001,31.03.1977,Sint-Eloois-Vijve
Espierres,Spiere,-,01.01.0001,03.01.1977,Spiere
-,Tiegem,-,01.01.0001,03.01.1977,Tiegem
-,Vichte,-,01.01.0001,03.01.1977,Vichte
-,Waarmaarde,-,01.01.0001,03.01.1977,Waarmaarde
-,Waregem,-,01.01.0001,31.12.9999,Waregem
-,Wevelgem,-,01.01.0001,31.12.9999,Wevelgem
-,Zwevegem,-,01.01.0001,31.12.9999,Zwevegem
Espierres-Helchin,Spiere-Helkijn,-,03.01.1977,31.12.9999,Spiere-Helkijn
-,Bekegem,-,01.01.0001,02.01.1977,Bekegem
-,Bredene,-,01.01.0001,31.12.9999,Bredene
-,Eernegem,-,01.01.0001,02.01.1977,Eernegem
-,Ettelgem,-,01.01.0001,03.01.1977,Ettelgem
-,Gistel,-,01.01.0001,31.12.9999,Gistel
-,Ichtegem,-,01.01.0001,31.12.9999,Ichtegem
-,Klemskerke,-,01.01.0001,01.01.1977,Klemskerke
-,Leffinge,-,01.01.0001,03.01.1977,Leffinge
-,Lombardsijde,-,01.01.0001,02.01.1971,Lombardsijde
-,Mannekensvere,-,01.01.0001,01.01.1971,Mannekensvere
-,Middelkerke,-,01.01.0001,31.12.9999,Middelkerke
-,Moere,-,01.01.0001,01.01.1971,Moere
Ostende,Oostende,Oostende,01.01.0001,31.12.9999,Oostende
-,Oudenburg,-,01.01.0001,31.12.9999,Oudenburg
-,Roksem,-,01.01.0001,03.01.1977,Roksem
-,Schore,-,01.01.0001,01.01.1971,Schore
Saint-Pierre-Capelle,Sint-Pieters-Kapelle (Vl.),Sint-Pieters-Kapelle(Vl.),01.01.0001,01.01.1971,Sint-Pieters-Kapelle (Vl.)
-,Slijpe,-,01.01.0001,01.01.1971,Slijpe
-,Snaaskerke,-,01.01.0001,01.01.1977,Snaaskerke
-,Stene,-,01.01.0001,01.01.1971,Stene
-,Vlissegem,-,01.01.0001,01.01.1977,Vlissegem
-,Westende,-,01.01.0001,03.01.1977,Westende
-,Westkerke,-,01.01.0001,03.01.1977,Westkerke
-,Wilskerke,-,01.01.0001,03.01.1977,Wilskerke
-,Zande,-,01.01.0001,01.01.1971,Zande
-,Zandvoorde(Oostende),-,01.01.0001,01.01.1971,Zandvoorde(Oostende)
-,Zevekote,-,01.01.0001,01.01.1971,Zevekote
-,Spermalie,-,01.01.1971,01.01.1977,Spermalie
-,De Haan,-,01.01.1977,31.12.9999,De Haan
-,Mariakerke,-,01.01.0001,01.01.1900,Mariakerke
-,Ardooie,-,01.01.0001,01.01.1977,Ardooie
-,Beveren,-,01.01.0001,25.01.1965,Beveren
-,Dadizele,-,01.01.0001,01.01.1977,Dadizele
-,Emelgem,-,01.01.0001,04.01.1965,Emelgem
-,Gits,-,01.01.0001,10.03.1977,Gits
-,Hooglede,-,01.01.0001,31.12.9999,Hooglede
-,Ingelmunster,-,01.01.0001,31.12.9999,Ingelmunster
-,Izegem,-,01.01.0001,31.12.9999,Izegem
-,Kachtem,-,01.01.0001,03.01.1977,Kachtem
-,Ledegem,-,01.01.0001,31.12.9999,Ledegem
-,Lichtervelde,-,01.01.0001,31.12.9999,Lichtervelde
-,Moorslede,-,01.01.0001,31.12.9999,Moorslede
-,Oekene,-,01.01.0001,03.01.1977,Oekene
-,Oostnieuwkerke,-,01.01.0001,03.01.1977,Oostnieuwkerke
Roulers,Roeselare,Roeselare,01.01.0001,31.12.9999,Roeselare
-,Rollegem-Kapelle,-,01.01.0001,01.01.1977,Rollegem-Kapelle
-,Rumbeke,-,01.01.0001,03.01.1977,Rumbeke
-,Sint-Eloois-Winkel,-,01.01.0001,01.01.1977,Sint-Eloois-Winkel
-,Staden,-,01.01.0001,31.12.9999,Staden
-,Westrozebeke,-,01.01.0001,03.01.1977,Westrozebeke
-,Aarsele,-,01.01.0001,01.01.1977,Aarsele
-,Dentergem,-,01.01.0001,31.12.9999,Dentergem
-,Egem,-,01.01.0001,01.01.1977,Egem
-,Kanegem,-,01.01.0001,01.01.1977,Kanegem
-,Koolskamp,-,01.01.0001,01.01.1977,Koolskamp
-,Markegem,-,01.01.0001,02.01.1977,Markegem
-,Meulebeke,-,01.01.0001,31.12.9999,Meulebeke
-,Oeselgem,-,01.01.0001,02.01.1977,Oeselgem
-,Ooigem,-,01.01.0001,02.01.1977,Ooigem
-,Oostrozebeke,-,01.01.0001,31.12.9999,Oostrozebeke
-,Pittem,-,01.01.0001,31.12.9999,Pittem
-,Ruiselede,-,01.01.0001,31.12.9999,Ruiselede
-,Schuiferskapelle,-,01.01.0001,01.01.1977,Schuiferskapelle
-,Sint-Baafs-Vijve,-,01.01.0001,02.01.1977,Sint-Baafs-Vijve
-,Tielt,-,01.01.0001,31.12.9999,Tielt
-,Wakken,-,01.01.0001,02.01.1977,Wakken
-,Wielsbeke,-,01.01.0001,31.12.9999,Wielsbeke
