City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category
Antwerpen,Urban Outfitters,51.21791150014134,4.411127483014116,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store
Antwerpen,Barnini,51.215,4.40895,https://ss3.4sqi.net/img/categories_v2/food/bagels_,Bagel Shop
Antwerpen,Exotische Markt,51.21497218608335,4.409559555244468,https://ss3.4sqi.net/img/categories_v2/shops/food_farmersmarket_,Farmers Market
Antwerpen,Nespresso Boutique,51.21844577592895,4.4119827775918905,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,Munch Me Frozen Yogurt,51.21766743785662,4.411257475292553,https://ss3.4sqi.net/img/categories_v2/food/frozenyogurt_,Frozen Yogurt Shop
Antwerpen,Cuperus Coffee,51.22505205527133,4.408744991261307,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Antwerpen,RAS | Restaurant Aan de Stroom,51.2191165611552,4.394538086094428,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Antwerpen,Pazzo,51.22692580798955,4.406347689841655,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant
Antwerpen,Clodette,51.22514639794881,4.40992868858973,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar
Antwerpen,Belgian Wines Bar/Shop,51.214520459939045,4.409346538244453,https://ss3.4sqi.net/img/categories_v2/food/winery_,Wine Bar
Gent,"Cut, Paste & Paint",51.05077995025719,3.7189819257925527,https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_,Salon / Barbershop
Gent,Bocca,51.05053783818365,3.7196700274944305,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant
Gent,Café René,51.050799,3.719812,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro
Gent,De Kastart,51.0520106489365,3.7196016311645512,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant
Gent,Patrick Foley's,51.05007058024616,3.7196672858609827,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Irish Pub
Gent,Romain Roquette,51.048839,3.721417,https://ss3.4sqi.net/img/categories_v2/food/salad_,Salad Place
Gent,NOIR,51.05188394264892,3.719567887849566,https://ss3.4sqi.net/img/categories_v2/shops/tattoos_,Tattoo Parlor
Gent,Taco Santo,51.050675257539005,3.7193843722343445,https://ss3.4sqi.net/img/categories_v2/food/taco_,Taco Place
Gent,De Frietketel,51.05057914833947,3.711361885070801,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie
Gent,Moor & Moor,51.052121929814874,3.719920814037323,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,L'Apero d'Oc,51.050938,3.719899,https://ss3.4sqi.net/img/categories_v2/shops/food_gourmet_,Gourmet Shop
Gent,Balls & Glory,51.05229896702483,3.720213174819946,https://ss3.4sqi.net/img/categories_v2/food/default_,Belgian Restaurant
Gent,PLUS+,51.05128563060697,3.7201273441314697,https://ss3.4sqi.net/img/categories_v2/food/salad_,Salad Place
Gent,Nespresso Boutique,51.050369,3.721514,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop
Gent,Paard van Troje,51.05001766429281,3.7223803997039795,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore
Gent,Pasta la Vista,51.047687033687104,3.721751796402544,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant
