ID,Name,Habitants,Index,Acreage,HabitantsPerSquareKm,ProsperityIndex,Province,Latitude,Longitude,BoundingBox,Frans,Nederlands,Duits,Begin,Einde,geojson_name
112,Watermaal-Bosvoorde,25184,638.0,12.93,1947,109.2,Brussel,50.79810629999999,4.4176440999999995,"['50.7722458', '50.8150912', '4.3923973', '4.4702112']",Watermael-Boitsfort,Watermaal-Bosvoorde,-,01.01.0001,31.12.9999,Watermaal-Bosvoorde#Watermael-Boitsfort
113,Sint-Agatha-Berchem,25179,3.747,2.95,8537,85.6,Brussel,50.864923100000006,4.294673400000001,"['50.8552706', '50.8748901', '4.2791942', '4.3140336']",Berchem-Sainte-Agathe,Sint-Agatha-Berchem,-,01.01.0001,31.12.9999,Sint-Agatha-Berchem#Berchem-Sainte-Agathe
114,Westerlo,25051,437.0,55.13,454,109.1,Antwerpen,51.086694,4.9168675,"['51.0638251', '51.1477363', '4.8116505', '4.9480634']",-,Westerlo,-,01.01.0001,31.12.9999,Westerlo
115,Ganshoren,24902,2.4530000000000003,2.46,10142,84.4,Brussel,50.8703273,4.307798,"['50.8657487', '50.8821034', '4.2914001', '4.3261046']",Ganshoren,Ganshoren,-,01.01.0001,31.12.9999,Ganshoren
116,Hamme,24865,191.0,40.21,618,100.9,Oost-Vlaanderen,51.0881545,4.1202841298183195,"['51.0648713', '51.1114782', '4.0596191', '4.1761541']",,,,,,Hamme
117,Merelbeke,24660,332.0,36.65,673,124.6,Oost-Vlaanderen,50.99575615,3.74567419991459,"['50.9648362', '51.0273469', '3.7110963', '3.779177']",-,Merelbeke,-,01.01.0001,31.12.9999,Merelbeke
118,Zwevegem,24656,163.0,63.24,390,106.8,West-Vlaanderen,50.80406995,3.34190674262759,"['50.7795268', '50.828156', '3.3049548', '3.3792626']",-,Zwevegem,-,01.01.0001,31.12.9999,Zwevegem
119,Saint-Nicolas,24263,636.0,6.84,3546,74.2,Luik,50.6305341,5.5394190000000005,"['50.6129221', '50.6513592', '5.5066107', '5.5492644']",Saint-Nicolas,-,-,01.01.0001,31.12.9999,Saint-Nicolas
120,Diest,23998,190.0,58.2,412,112.8,Vlaams-Brabant,50.98456645,5.052873496255041,"['50.9731545', '50.9960722', '5.0324812', '5.0700614']",-,Diest,-,01.01.0001,31.12.9999,Diest
121,Maldegem,23774,199.0,94.64,251,103.3,Oost-Vlaanderen,51.208887100000005,3.4452214,"['51.146858', '51.2744554', '3.360477', '3.544934']",-,Maldegem,-,01.01.0001,31.12.9999,Maldegem
122,Oostkamp,23698,239.0,79.65,298,111.1,West-Vlaanderen,51.1511469,3.24972641333963,"['51.115734', '51.186519', '3.1915152', '3.2973646']",-,Oostkamp,-,01.01.0001,31.12.9999,Oostkamp
123,Oudsbergen,23532,781.0,116.24,202,,Limburg,51.093314899999996,5.5540750999999995,"['51.0188206', '51.1463397', '5.4544044', '5.6660666']",-,Oudsbergen,-,01.01.2019,31.12.9999,Oudsbergen
124,Zemst,23358,399.0,42.83,545,130.9,Vlaams-Brabant,50.9842166,4.465081400000001,"['50.9465279', '51.0093147', '4.3694339', '4.5287027']",-,Zemst,-,01.01.0001,31.12.9999,Zemst
125,Saint-Ghislain,23311,207.0,70.18,332,94.5,Henegouwen,50.4477484,3.8195241,"['50.4382063', '50.5415289', '3.7365195', '3.8794189']",Saint-Ghislain,-,-,01.01.0001,31.12.9999,Saint-Ghislain
126,Manage,23308,524.0,19.6,1189,80.6,Henegouwen,50.5040159,4.2355599,"['50.4649718', '50.522387', '4.2040892', '4.2817323']",Manage,-,-,01.01.2019,31.12.9999,Manage
