City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2
Zutendaal,Hesselsberg,50.930545,5.570567,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_,Forest,parks_outdoors,parks_outdoors default_
Linter,Garage Govaerts,50.841566,5.0373589999999995,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Auto Garage,shops,shops automotive_
Linter,Fietsroute Linter,50.837948,5.0364857,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/hikingtrail_,Bike Trail,parks_outdoors,parks_outdoors hikingtrail_
Linter,Silence,50.841127,5.03019,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics Shop,shops,shops beauty_cosmetic_
Linter,kantine SV Drieslinter,50.845401,5.04066,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Beer Bar,nightlife,nightlife pub_
Bevekom,La Renaissance,50.78024676119403,4.7726243640993244,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,nightlife,nightlife sportsbar_
Bevekom,Spar,50.781318,4.776388,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Grocery Store,shops,shops food_grocery_
Bevekom,Aux Quatre Saisons Beauvechain,50.780758603713856,4.776126444339752,https://ss3.4sqi.net/img/categories_v2/shops/flowershop_,Flower Shop,shops,shops flowershop_
Bevekom,Atkin,50.781070654277066,4.777159094810487,https://ss3.4sqi.net/img/categories_v2/shops/hardware_,Home Service,shops,shops hardware_
Bevekom,Monument - Arrêt de bus TEC,50.77968611648622,4.765099380748115,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_
Gesves,La Petite Gesves,50.40209564523742,5.075140911630268,https://ss3.4sqi.net/img/categories_v2/food/snacks_,Snack Place,food,food snacks_
Gesves,Hall Omnisport Gesves,50.406001340729276,5.067398183268868,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_,Playground,parks_outdoors,parks_outdoors playground_
Gesves,Boulangerie Sohet,50.40571542936385,5.065313911231032,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_
Gesves,L'Aubergesves,50.395881622484815,5.06490028566066,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_
Walhain,Royal Wallonia Walhain,50.61720753478323,4.7003004540885645,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,arts_entertainment,arts_entertainment stadium_soccer_
Walhain,Centre Sportif de Walhain,50.61715301864706,4.699925813829812,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,shops,shops sports_outdoors_
Walhain,Louis Delhaize Walhain,50.61860470694575,4.695649629102285,https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_,Food & Drink Shop,shops,shops foodanddrink_
Walhain,Pharmacie Servais,50.6187155579202,4.695732593536377,https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_,Pharmacy,shops,shops pharmacy_
Walhain,L'Auberge De Walhain,50.61896971282962,4.695035009001146,https://ss3.4sqi.net/img/categories_v2/food/french_,French Restaurant,food,food french_
Walhain,Vieux Château de Walhain,50.61380049465675,4.694981575012207,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_,Castle,parks_outdoors,parks_outdoors beach_
Stavelot,La Table de Figaro,50.3945726793467,5.929836614710973,https://ss3.4sqi.net/img/categories_v2/food/italian_,Italian Restaurant,food,food italian_
Stavelot,Romantik Hotel le Val d'Ambleve,50.39788748381036,5.939185111477403,https://ss3.4sqi.net/img/categories_v2/travel/resort_,Resort,travel,travel resort_
Stavelot,Abbaye de Stavelot,50.393732839455566,5.9319566656898814,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_,History Museum,arts_entertainment,arts_entertainment museum_history_
Stavelot,La Pizzéria Le Casino,50.39507107510133,5.932130585386844,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_
