Frans,Nederlands,Duits,Begin,Einde
Rhode-Saint-Genèse,Sint-Genesius-Rode,-,01.01.0001,31.12.9999
-,Wemmel,-,01.01.0001,31.12.9999
-,Wezembeek-Oppem,-,01.01.0001,31.12.9999
-,Lennik,-,01.01.1977,31.12.9999
-,Affligem,-,01.01.0001,31.12.9999
-,Aarschot,-,01.01.0001,31.12.9999
-,Assent,-,01.01.0001,03.01.1977
-,Attenhoven,-,01.01.0001,02.01.1977
-,Attenrode,-,01.01.0001,01.01.1977
-,Averbode,-,01.01.0001,02.01.1977
-,Baal,-,01.01.0001,03.01.1977
-,Begijnendijk,-,01.01.0001,31.12.9999
-,Bekkevoort,-,01.01.0001,31.12.9999
-,Bertem,-,01.01.0001,31.12.9999
-,Betekom,-,01.01.0001,03.01.1977
-,Bierbeek,-,01.01.0001,31.12.9999
-,Binkom,-,01.01.0001,01.01.1977
-,Blanden,-,01.01.0001,22.02.1977
-,Boortmeerbeek,-,01.01.0001,31.12.9999
-,Bost,-,01.01.0001,01.01.1971
-,Boutersem,-,01.01.0001,31.12.9999
-,Budingen,-,01.01.0001,01.01.1977
-,Bunsbeek,-,01.01.0001,01.01.1977
-,Deurne (bij-Diest),-,01.01.0001,03.01.1977
-,Diest,-,01.01.0001,31.12.9999
-,Dormaal,-,01.01.0001,02.01.1971
-,Drieslinter,-,01.01.0001,01.04.1972
-,Duisburg,-,01.01.0001,02.01.1977
-,Eliksem,-,01.01.0001,01.01.1971
-,Erps-Kwerps,-,01.01.0001,03.01.1977
-,Everberg,-,01.01.0001,03.01.1977
-,Ezemaal,-,01.01.0001,01.01.1971
-,Geetbets,-,01.01.0001,31.12.9999
-,Gelrode,-,01.01.0001,03.01.1977
-,Glabbeek-Zuurbemde,-,01.01.0001,20.09.1980
Gossoncourt,Goetsenhoven,Goetsenhoven,01.01.0001,01.01.1977
-,Grazen,-,01.01.0001,01.01.1971
-,Haacht,-,01.01.0001,31.12.9999
-,Haasrode,-,01.01.0001,22.02.1977
-,Hakendover,-,01.01.0001,01.01.1977
-,Halle-Booienhoven,-,01.01.0001,01.01.1977
-,Helen-Bos,-,01.01.0001,31.08.1971
-,Herent,-,01.01.0001,31.12.9999
-,Hever,-,01.01.0001,01.01.1977
-,Heverlee,-,01.01.0001,02.01.1977
-,Hoegaarden,-,01.01.0001,31.12.9999
-,Hoeleden,-,01.01.0001,01.01.1977
-,Holsbeek,-,01.01.0001,31.12.9999
-,Houwaart,-,01.01.0001,01.01.1977
-,Huldenberg,-,01.01.0001,31.12.9999
-,Kaggevinne,-,01.01.0001,03.01.1977
-,Kapellen (Brab.),-,01.01.0001,01.01.1977
-,Keerbergen,-,01.01.0001,31.12.9999
-,Kerkom,-,01.01.0001,26.01.1971
-,Kersbeek-Miskom,-,01.01.0001,01.01.1977
-,Kessel-Lo,-,01.01.0001,02.01.1977
-,Korbeek-Dijle,-,01.01.0001,03.01.1977
-,Korbeek-Lo,-,01.01.0001,02.01.1977
-,Kortenaken,-,01.01.0001,31.12.9999
-,Kortenberg,-,01.01.0001,31.12.9999
-,Kortrijk-Dutsel,-,01.01.0001,02.01.1977
-,Kumtich,-,01.01.0001,02.01.1977
-,Laar,-,01.01.0001,01.01.1971
-,Landen,-,01.01.0001,31.12.9999
-,Langdorp,-,01.01.0001,03.01.1977
-,Leefdaal,-,01.01.0001,03.01.1977
Louvain,Leuven,Löwen,01.01.0001,31.12.9999
-,Linden,-,01.01.0001,01.01.1977
-,Loonbeek,-,01.01.0001,01.01.1977
-,Lovenjoel,-,01.01.0001,01.01.1977
-,Lubbeek,-,01.01.0001,31.12.9999
-,Meensel-Kiezegem,-,01.01.0001,01.01.1977
-,Meerbeek,-,01.01.0001,03.01.1977
-,Meldert,-,01.01.0001,02.01.1965
-,Melkwezer,-,01.01.0001,01.01.1971
-,Messelbroek,-,01.01.0001,02.01.1977
-,Molenbeek-Wersbeek,-,01.01.0001,03.01.1977
-,Molenstede,-,01.01.0001,03.01.1977
-,Neerhespen,-,01.01.0001,01.01.1971
-,Neerijse,-,01.01.0001,01.01.1977
-,Neerlanden,-,01.01.0001,01.01.1971
-,Neerlinter,-,01.01.0001,01.04.1972
-,Neervelp,-,01.01.0001,02.01.1965
-,Neerwinden,-,01.01.0001,02.01.1977
-,Nieuwrode,-,01.01.0001,02.01.1977
-,Oorbeek,-,01.01.0001,01.01.1971
-,Oplinter,-,01.01.0001,01.01.1977
-,Opvelp,-,01.01.0001,02.01.1965
-,Orsmaal-Gussenhoven,-,01.01.0001,01.01.1971
-,Ottenburg,-,01.01.0001,01.01.1977
-,Oud-Heverlee,-,01.01.0001,31.12.9999
-,Outgaarden,-,01.01.0001,02.01.1977
-,Overhespen,-,01.01.0001,01.01.1971
-,Overwinden,-,01.01.0001,01.01.1971
-,Pellenberg,-,01.01.0001,01.01.1977
-,Ransberg,-,01.01.0001,01.01.1977
-,Rillaar,-,01.01.0001,03.01.1977
-,Roosbeek (Vl.),-,01.01.0001,26.01.1971
-,Rotselaar,-,01.01.0001,31.12.9999
-,Rummen,-,01.01.0001,01.01.1977
-,Rumsdorp,-,01.01.0001,04.01.1971
-,Schaffen,-,01.01.0001,03.01.1977
Montaigu,Scherpenheuvel,Scherpenheuvel,01.01.0001,02.01.1977
-,Sint-Agatha-Rode,-,01.01.0001,01.01.1977
-,Sint-Joris-Weert,-,01.01.0001,22.02.1977
-,Sint-Joris-Winge,-,01.01.0001,01.01.1977
-,Sint-Margriete-Houtem,-,01.01.0001,01.01.1977
-,Sint-Pieters-Rode,-,01.01.0001,02.01.1977
-,Tervuren,-,01.01.0001,31.12.9999
-,Testelt,-,01.01.0001,02.01.1977
-,Tielt (Brab.),-,01.01.0001,01.01.1977
Tirlemont,Tienen,Tienen,01.01.0001,31.12.9999
-,Tildonk,-,01.01.0001,02.01.1977
-,Tremelo,-,01.01.0001,31.12.9999
