City,Venue,Venue Latitude,Venue Longitude,Category Class,Venue Category,class1,class2,Cluster Labels
Brasschaat,'t Lof,51.29040113941469,4.490970056888073,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,nightlife,nightlife pub_,3
Brasschaat,Pita Farao Pizza,51.28853758054064,4.487599916057361,https://ss3.4sqi.net/img/categories_v2/food/middleeastern_,Middle Eastern Restaurant,food,food middleeastern_,3
Brasschaat,The Valley,51.29205232992437,4.493997808818693,https://ss3.4sqi.net/img/categories_v2/food/steakhouse_,Steakhouse,food,food steakhouse_,3
Brasschaat,Croissy,51.28995163601846,4.49113386810762,https://ss3.4sqi.net/img/categories_v2/food/bakery_,Bakery,food,food bakery_,3
Brasschaat,ALDI,51.2887876476053,4.485931818412337,https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_,Supermarket,shops,shops food_grocery_,3
Brasschaat,Hifinesse,51.2919407987943,4.493850045990006,https://ss3.4sqi.net/img/categories_v2/shops/technology_,Electronics Store,shops,shops technology_,3
Brasschaat,Pizza @ Home,51.29168613925701,4.493746427853932,https://ss3.4sqi.net/img/categories_v2/food/pizza_,Pizza Place,food,food pizza_,3
Brasschaat,Hi Phone,51.28970112742582,4.490790367126465,https://ss3.4sqi.net/img/categories_v2/shops/technology_,IT Services,shops,shops technology_,3
Brasschaat,Halte Kerk Miksebaan,51.28983803704857,4.492788273257075,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_,3
Brasschaat,Brasschaat Vieux Depot,51.291973,4.4919295,https://ss3.4sqi.net/img/categories_v2/food/french_,Brasserie,food,food french_,3
Brasschaat,Oxford,51.28931141053036,4.490571477964863,https://ss3.4sqi.net/img/categories_v2/shops/apparel_men_,Men's Store,shops,shops apparel_men_,3
Brasschaat,Monique stam,51.292532,4.494368,https://ss3.4sqi.net/img/categories_v2/shops/apparel_boutique_,Boutique,shops,shops apparel_boutique_,3
Brasschaat,Hunkemöller,51.28907712751155,4.489913284778595,https://ss3.4sqi.net/img/categories_v2/shops/apparel_lingerie_,Lingerie Store,shops,shops apparel_lingerie_,3
Brasschaat,Lilli's Concept,51.292865579110604,4.4947292712110425,https://ss3.4sqi.net/img/categories_v2/shops/apparel_boutique_,Boutique,shops,shops apparel_boutique_,3
Brasschaat,Corifeo,51.29303784610655,4.494706188090976,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design Studio,shops,shops design_,3
Brasschaat,Schoenen David,51.28905838371504,4.489472231563409,https://ss3.4sqi.net/img/categories_v2/shops/apparel_shoestore_,Shoe Store,shops,shops apparel_shoestore_,3
Brasschaat,Halte Du Boislei,51.29365188115013,4.489867308680741,https://ss3.4sqi.net/img/categories_v2/travel/busstation_,Bus Stop,travel,travel busstation_,3
Brasschaat,Ramon's Bodega,51.28872442774846,4.489614760872867,https://ss3.4sqi.net/img/categories_v2/food/tapas_,Tapas Restaurant,food,food tapas_,3
Brasschaat,👬 Speeltuin Gemeentepark,51.2881,4.493578,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_,Playground,parks_outdoors,parks_outdoors playground_,3
Brasschaat,Frituur Bavo,51.29007979751582,4.498693250129752,https://ss3.4sqi.net/img/categories_v2/food/fastfood_,Friterie,food,food fastfood_,3
Brasschaat,Pita Amon,51.294971,4.489248,https://ss3.4sqi.net/img/categories_v2/food/default_,Dutch Restaurant,food,food default_,3
Brasschaat,Zeeman,51.28891385240141,4.485596648308544,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store,shops,shops apparel_,3
Brasschaat,C&A Kids,51.287969,4.486848,https://ss3.4sqi.net/img/categories_v2/shops/apparel_kids_,Kids Store,shops,shops apparel_kids_,3
Brasschaat,Terre Bleue,51.28794137742568,4.4862108658765685,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Clothing Store,shops,shops apparel_,3
Brasschaat,Slagerij De Deken,51.287813999338006,4.4863485332112205,https://ss3.4sqi.net/img/categories_v2/shops/food_butcher_,Butcher,shops,shops food_butcher_,3
